Name,OttoneuID,FG MajorLeagueID,FG MinorLeagueID,MLB Org,Position(s),Avg Salary,Median Salary,Min Salary,Max Salary,Last 10,Roster%,Team,POS,ADP,rPTS,PTS,aPOS,Dollars,Adjusted,Cost,PlayerId,value
Zack Wheeler,15962,10310.0,sa500722,PHI,SP,29.6,29.0,14,50,39.7,95.912,PHI,SP,24.9400005340576,943.136391639709,27.2215918125417,16.8711655158394,45.0927573283811,63.5844235323292,31.0,10310,14.09275733
Alex Bregman,18480,17678.0,sa659419,HOU,3B,29.24,29.0,15,59,27.7,79.56,HOU,3B,97.9700012207031,853.881356430053,14.8711135104954,12.1782023409494,28.0493158514449,40.9664148825073,,17678,0.0
Ozzie Albies,18397,16556.0,sa830219,ATL,2B,28.95,29.0,13,43,31.4,95.283,ATL,2B,22.8099994659423,842.85133395195,13.3448572834163,15.7193073478921,30.0641646313084,42.8140983225785,27.0,16556,3.064164631
Spencer Strider,38736,27498.0,sa3015059,ATL,SP,28.04,27.0,5,61,44.2,97.799,ATL,SP,6.26999998092651,1045.51228084564,41.3876407678816,16.8711655158394,59.258806283721,82.6587937543271,26.0,27498,33.25880628
Luis Castillo,23732,15689.0,sa657487,SEA,SP,27.14,27.0,14,44,34.3,95.283,SEA,SP,30.2199993133544,923.126902389526,24.4528207035626,16.8711655158394,42.323986219402,59.7998155487661,39.0,15689,3.323986219
Bobby Witt Jr.,36668,25764.0,sa3011225,KCR,SS,26.95,25.0,7,56,45.4,97.799,KCR,SS/DH,2.31999993324279,938.344292736053,26.5584951772444,14.934803001757,42.4932981790015,60.0317848113392,40.0,25764,2.493298179
Xander Bogaerts,13117,12161.0,sa550735,SDP,SS,26.87,26.0,14,51,24.3,73.585,SDP,SS/DH,107.349998474121,788.491081523895,5.82287136374895,14.934803001757,21.7576743655059,31.0898526387981,37.0,12161,-15.24232563
Marcus Semien,18263,12533.0,sa546772,TEX,2B,26.81,26.0,13,42,29.8,96.226,TEX,2B,31.0,872.407178926467,17.4345853441245,15.7193073478921,34.1538926920166,48.5220614560431,17.0,12533,17.15389269
Paul Goldschmidt,4374,9218.0,sa501577,STL,1B,26.44,27.0,1,45,20.8,71.384,STL,1B/DH,85.3499984741211,841.2562245965,13.1241373717878,13.8090861894163,27.9332235612042,40.7948840141518,,9218,0.0
Nolan Arenado,12379,9777.0,sa500816,STL,3B,24.93,25.0,9,49,22.0,70.126,STL,3B/DH,103.980003356933,752.793979775905,0.88335977710414,12.1782023409494,14.0615621180536,20.0675291792809,30.0,9777,-15.93843788
Kyle Schwarber,18347,16478.0,sa709545,PHI,OF,24.5,24.0,6,49,32.2,94.654,PHI,OF/DH,94.1399993896484,895.815546321868,20.6736690879619,21.885622661012,43.559291748974,61.490658030344,22.0,16478,21.55929175
Zac Gallen,23779,19291.0,sa857550,ARI,SP,24.06,24.0,11,41,33.3,97.17,ARI,SP,40.2999992370605,904.154112434387,21.8275006852598,16.8711655158394,39.6986662010992,56.1939262421017,30.0,19291,9.698666201
Max Fried,18164,13743.0,sa657860,ATL,SP,23.34,23.0,12,34,28.0,94.025,ATL,SP,61.6199989318847,797.157228279113,7.02203124544374,16.8711655158394,24.8931967612831,35.5363089227002,33.0,13743,-8.106803239
Christian Yelich,14893,11477.0,sa548190,MIL,OF,23.25,23.0,11,38,27.7,91.824,MIL,OF/DH,81.4100036621093,800.134616875648,7.43402114799532,21.885622661012,30.3196438090074,43.1719029908444,21.0,11477,9.319643809
Blake Snell,18460,13543.0,sa597786,FA,SP,23.19,23.0,7,41,24.6,95.912,,SP,69.3000030517578,795.800029230117,6.83423167350014,16.8711655158394,24.7053971893395,35.2707058077605,25.0,13543,-0.2946028107
